dataset;classifier;ifc;time1;time2;rmse
anneal;ibk;ifc;0.13;2.63;0.0851
anneal;ibk;nonifc;0;0.13;0.0659
anneal;linreg;ifc;0.22;2.38;0.1569
anneal;linreg;nonifc;0.33;0.03;0.1362
anneal;logreg;ifc;0.25;2.31;0.0668
anneal;logreg;nonifc;0.25;0.03;0.0538
anneal;m5p;ifc;0.31;2.39;0.0804
anneal;m5p;nonifc;0.23;0.02;0.0764
anneal;mlp;ifc;11.03;2.05;0.0548
anneal;mlp;nonifc;51.74;0.09;0.0511
anneal;smoreg;ifc;2.61;2.33;0.2063
anneal;smoreg;nonifc;6.3;0.02;0.1901
audiology;ibk;ifc;0.09;2.44;0.176
audiology;ibk;nonifc;0.02;0.06;0.2303
audiology;linreg;ifc;0.19;2.38;0.2283
audiology;linreg;nonifc;0.2;0.03;0.2572
audiology;logreg;ifc;0.2;2.49;0.3155
audiology;logreg;nonifc;0.14;0.02;0.3643
audiology;m5p;ifc;0.2;2.36;0.1952
audiology;m5p;nonifc;0.17;0;0.1971
audiology;mlp;ifc;10.53;2.02;0.1909
audiology;mlp;nonifc;21.52;0.03;0.1963
audiology;smoreg;ifc;0.27;2.31;0.2533
audiology;smoreg;nonifc;0.58;0.02;0.2698
autos;ibk;ifc;0.08;0.47;0.3276
autos;ibk;nonifc;0;0.05;0.3123
autos;linreg;ifc;0.16;0.36;0.3331
autos;linreg;nonifc;0.11;0.02;0.4022
autos;logreg;ifc;0.13;0.47;0.3542
autos;logreg;nonifc;0.09;0;0.4059
autos;m5p;ifc;0.17;0.36;0.323
autos;m5p;nonifc;0.19;0;0.3195
autos;mlp;ifc;1.58;0.38;0.3353
autos;mlp;nonifc;10.02;0.03;0.347
autos;smoreg;ifc;0.2;0.45;0.3534
autos;smoreg;nonifc;0.28;0.02;0.4282
balance-scale;ibk;ifc;0.08;0.17;0.3156
balance-scale;ibk;nonifc;0.02;0.08;0.2493
balance-scale;linreg;ifc;0.16;0.16;0.2876
balance-scale;linreg;nonifc;0.05;0;0.3081
balance-scale;logreg;ifc;0.08;0.13;0.1732
balance-scale;logreg;nonifc;0.03;0;0.2072
balance-scale;m5p;ifc;0.22;0.09;0.2654
balance-scale;m5p;nonifc;0.23;0;0.2784
balance-scale;mlp;ifc;0.39;0.14;0.2116
balance-scale;mlp;nonifc;0.34;0.02;0.2387
balance-scale;smoreg;ifc;0.28;0.13;0.2865
balance-scale;smoreg;nonifc;0.23;0.02;0.3061
breast-cancer;ibk;ifc;0.05;0.16;0.5889
breast-cancer;ibk;nonifc;0;0.05;0.5002
breast-cancer;linreg;ifc;0.06;0.14;0.4474
breast-cancer;linreg;nonifc;0.09;0.02;0.4513
breast-cancer;logreg;ifc;0.06;0.16;0.448
breast-cancer;logreg;nonifc;0.06;0;0.4691
breast-cancer;m5p;ifc;0.17;0.11;0.4537
breast-cancer;m5p;nonifc;0.25;0.02;0.4571
breast-cancer;mlp;ifc;0.5;0.16;0.5278
breast-cancer;mlp;nonifc;6.89;0.03;0.6843
breast-cancer;smoreg;ifc;0.25;0.14;0.5329
breast-cancer;smoreg;nonifc;0.44;0.02;0.5923
breast-w;ibk;ifc;0.08;0.34;0.1814
breast-w;ibk;nonifc;0;0.08;0.1983
breast-w;linreg;ifc;0.14;0.27;0.1796
breast-w;linreg;nonifc;0.05;0.02;0.1975
breast-w;logreg;ifc;0.11;0.28;0.1643
breast-w;logreg;nonifc;0.05;0.02;0.1628
breast-w;m5p;ifc;0.22;0.28;0.178
breast-w;m5p;nonifc;0.16;0;0.1807
breast-w;mlp;ifc;1.16;0.28;0.1954
breast-w;mlp;nonifc;1.13;0.03;0.2487
breast-w;smoreg;ifc;1.88;0.27;0.2179
breast-w;smoreg;nonifc;0.8;0.05;0.2133
colic;ibk;ifc;0.06;0.49;0.5452
colic;ibk;nonifc;0;0.08;0.5803
colic;linreg;ifc;0.14;0.5;0.4169
colic;linreg;nonifc;0.09;0.02;0.4247
colic;logreg;ifc;0.09;0.47;0.4259
colic;logreg;nonifc;0.06;0.02;0.4425
colic;m5p;ifc;0.25;0.49;0.4157
colic;m5p;nonifc;0.3;0;0.4282
colic;mlp;ifc;2.13;0.52;0.5261
colic;mlp;nonifc;11.92;0.03;0.5637
colic;smoreg;ifc;0.25;0.47;0.4377
colic;smoreg;nonifc;0.83;0.02;0.475
credit-a;ibk;ifc;0.09;0.63;0.4423
credit-a;ibk;nonifc;0.02;0.08;0.4205
credit-a;linreg;ifc;0.14;0.56;0.3244
credit-a;linreg;nonifc;0.11;0.02;0.3349
credit-a;logreg;ifc;0.13;0.56;0.3171
credit-a;logreg;nonifc;0.09;0.02;0.3283
credit-a;m5p;ifc;0.3;0.52;0.3249
credit-a;m5p;nonifc;0.33;0;0.325
credit-a;mlp;ifc;2.27;0.63;0.3892
credit-a;mlp;nonifc;12.38;0.03;0.4608
credit-a;smoreg;ifc;2.77;0.5;0.3802
credit-a;smoreg;nonifc;4.75;0.02;0.3841
credit-g;ibk;ifc;0.09;0.97;0.1348
credit-g;ibk;nonifc;0.02;0.13;0.278
credit-g;linreg;ifc;0.17;0.84;0
credit-g;linreg;nonifc;0.2;0.02;0
credit-g;logreg;ifc;0.14;0.8;0
credit-g;logreg;nonifc;0.13;0.02;0
credit-g;m5p;ifc;0.19;0.78;0
credit-g;m5p;nonifc;0.14;0.02;0
credit-g;mlp;ifc;3.78;0.84;0.0002
credit-g;mlp;nonifc;24.39;0.05;0.0009
credit-g;smoreg;ifc;0.25;0.86;0.0007
credit-g;smoreg;nonifc;0.55;0.03;0.0008
diabetes;ibk;ifc;0.09;0.41;0.5613
diabetes;ibk;nonifc;0.02;0.11;0.5484
diabetes;linreg;ifc;0.13;0.3;0.4029
diabetes;linreg;nonifc;0.06;0.02;0.4036
diabetes;logreg;ifc;0.11;0.27;0.4055
diabetes;logreg;nonifc;0.05;0.02;0.3959
diabetes;m5p;ifc;0.31;0.25;0.4045
diabetes;m5p;nonifc;0.27;0.02;0.4052
diabetes;mlp;ifc;1.02;0.27;0.4528
diabetes;mlp;nonifc;1.03;0;0.4794
diabetes;smoreg;ifc;0.53;0.31;0.408
diabetes;smoreg;nonifc;0.38;0.02;0.4144
glass;ibk;ifc;0.06;0.11;0.6376
glass;ibk;nonifc;0.02;0.02;0.4686
glass;linreg;ifc;0.08;0.11;0.4324
glass;linreg;nonifc;0.05;0.02;0.4751
glass;logreg;ifc;0.08;0.13;0.4328
glass;logreg;nonifc;0.03;0.02;0.457
glass;m5p;ifc;0.16;0.09;0.4463
glass;m5p;nonifc;0.13;0.02;0.3973
glass;mlp;ifc;0.42;0.11;0.5049
glass;mlp;nonifc;0.34;0;0.5429
glass;smoreg;ifc;0.11;0.11;0.4304
glass;smoreg;nonifc;0.09;0.02;0.586
heart-c;ibk;ifc;0.06;0.23;0.4375
heart-c;ibk;nonifc;0;0.05;0.4908
heart-c;linreg;ifc;0.09;0.2;0.3482
heart-c;linreg;nonifc;0.05;0.02;0.3596
heart-c;logreg;ifc;0.09;0.22;0.3488
heart-c;logreg;nonifc;0.05;0.02;0.3491
heart-c;m5p;ifc;0.22;0.16;0.3547
heart-c;m5p;nonifc;0.16;0.02;0.3756
heart-c;mlp;ifc;0.84;0.2;0.394
heart-c;mlp;nonifc;1.83;0.03;0.5877
heart-c;smoreg;ifc;0.17;0.19;0.4687
heart-c;smoreg;nonifc;0.16;0.02;0.5019
heart-statlog;ibk;ifc;0.11;0.2;0.4513
heart-statlog;ibk;nonifc;0;0.05;0.4981
heart-statlog;linreg;ifc;0.08;0.19;0.3527
heart-statlog;linreg;nonifc;0.06;0.02;0.3615
heart-statlog;logreg;ifc;0.08;0.17;0.3562
heart-statlog;logreg;nonifc;0.03;0.02;0.3543
heart-statlog;m5p;ifc;0.19;0.14;0.3705
heart-statlog;m5p;nonifc;0.17;0;0.3822
heart-statlog;mlp;ifc;0.78;0.17;0.4159
heart-statlog;mlp;nonifc;0.73;0.02;0.5565
heart-statlog;smoreg;ifc;0.13;0.17;0.4652
heart-statlog;smoreg;nonifc;0.14;0.02;0.4662
hepatitis;ibk;ifc;0.06;0.19;0.4684
hepatitis;ibk;nonifc;0.02;0.02;0.4325
hepatitis;linreg;ifc;0.09;0.19;0.3629
hepatitis;linreg;nonifc;0.05;0.02;0.3681
hepatitis;logreg;ifc;0.09;0.19;0.3739
hepatitis;logreg;nonifc;0.05;0.02;0.349
hepatitis;m5p;ifc;0.22;0.19;0.3872
hepatitis;m5p;nonifc;0.13;0;0.3737
hepatitis;mlp;ifc;0.84;0.2;0.4335
hepatitis;mlp;nonifc;0.77;0.03;0.5337
hepatitis;smoreg;ifc;0.28;0.2;0.3927
hepatitis;smoreg;nonifc;0.14;0.02;0.3927
hypothyroid;ibk;ifc;0.25;3.08;0.2372
hypothyroid;ibk;nonifc;0.02;0.28;0.3106
hypothyroid;linreg;ifc;0.34;2.67;0.2109
hypothyroid;linreg;nonifc;0.14;0.02;0.2318
hypothyroid;logreg;ifc;0.31;2.73;0.1999
hypothyroid;logreg;nonifc;0.14;0.02;0.1647
hypothyroid;m5p;ifc;0.41;2.63;0.2007
hypothyroid;m5p;nonifc;0.22;0.02;0.0967
hypothyroid;mlp;ifc;11.92;2.2;0.1827
hypothyroid;mlp;nonifc;14.89;0.05;0.2892
hypothyroid;smoreg;ifc;12.33;2.14;0.2152
hypothyroid;smoreg;nonifc;36.86;0.03;0.2508
ionosphere;ibk;ifc;0.11;1.11;0.5724
ionosphere;ibk;nonifc;0;0.08;0.3774
ionosphere;linreg;ifc;0.17;1.05;0.3749
ionosphere;linreg;nonifc;0.08;0.02;0.3723
ionosphere;logreg;ifc;0.16;0.98;0.4635
ionosphere;logreg;nonifc;0.06;0.02;0.3207
ionosphere;m5p;ifc;0.28;1.13;0.449
ionosphere;m5p;nonifc;0.19;0.02;0.2952
ionosphere;mlp;ifc;4.78;0.86;0.6381
ionosphere;mlp;nonifc;4.45;0.02;0.4256
ionosphere;smoreg;ifc;0.42;1.03;0.3616
ionosphere;smoreg;nonifc;0.3;0.02;0.3776
iris;ibk;ifc;0.05;0.08;0
iris;ibk;nonifc;0;0.03;0
iris;linreg;ifc;0.06;0.06;0.0782
iris;linreg;nonifc;0.03;0.02;0.1535
iris;logreg;ifc;0.05;0.06;0.0111
iris;logreg;nonifc;0.03;0.02;0.0038
iris;m5p;ifc;0.09;0.05;0.1111
iris;m5p;nonifc;0.08;0;0.0297
iris;mlp;ifc;0.14;0.05;0.0336
iris;mlp;nonifc;0.09;0.02;0.0206
iris;smoreg;ifc;0.08;0.06;0.0821
iris;smoreg;nonifc;0.06;0.02;0.1544
kr-vs-kp;ibk;ifc;0.16;3.3;0.3109
kr-vs-kp;ibk;nonifc;0;0.34;0.2822
kr-vs-kp;linreg;ifc;0.3;3.22;0.2888
kr-vs-kp;linreg;nonifc;0.17;0.03;0.3136
kr-vs-kp;logreg;ifc;0.22;2.83;0.1676
kr-vs-kp;logreg;nonifc;0.13;0.02;0.1651
kr-vs-kp;m5p;ifc;0.53;3.25;0.1363
kr-vs-kp;m5p;nonifc;0.42;0.02;0.1304
kr-vs-kp;mlp;ifc;14.42;2.72;0.1626
kr-vs-kp;mlp;nonifc;17.63;0.05;0.2086
kr-vs-kp;smoreg;ifc;11.42;2.91;0.3551
kr-vs-kp;smoreg;nonifc;14;0.03;0.3899
labor;ibk;ifc;0.05;0.06;0.2649
labor;ibk;nonifc;0;0.03;0.2962
labor;linreg;ifc;0.06;0.08;0.317
labor;linreg;nonifc;0.05;0.02;0.309
labor;logreg;ifc;0.05;0.06;0.3555
labor;logreg;nonifc;0.05;0.02;0.3594
labor;m5p;ifc;0.13;0.08;0.3746
labor;m5p;nonifc;0.11;0.02;0.3671
labor;mlp;ifc;0.25;0.08;0.2608
labor;mlp;nonifc;0.42;0;0.2543
labor;smoreg;ifc;0.09;0.08;0.3638
labor;smoreg;nonifc;0.09;0.02;0.3804
letter;ibk;ifc;0.5;2.59;0.1595
letter;ibk;nonifc;0;0.63;0.1365
letter;linreg;ifc;0.53;1.8;0.1805
letter;linreg;nonifc;0.11;0.03;0.1924
letter;logreg;ifc;0.64;2.09;0.1471
letter;logreg;nonifc;0.09;0.06;0.1835
letter;m5p;ifc;0.81;1.75;0.1488
letter;m5p;nonifc;0.42;0.02;0.1359
letter;mlp;ifc;7.03;1.56;0.1756
letter;mlp;nonifc;6.49;0.03;0.1879
letter;smoreg;ifc;2556.68;1.83;0.2075
letter;smoreg;nonifc;17.19;0.03;0.2076
segment;ibk;ifc;0.14;0.81;0.2081
segment;ibk;nonifc;0.02;0.09;0
segment;linreg;ifc;0.22;0.86;0.2831
segment;linreg;nonifc;0.08;0.03;0.1249
segment;logreg;ifc;0.17;0.69;0.2773
segment;logreg;nonifc;0.05;0.02;0.0327
segment;m5p;ifc;0.3;0.83;0.336
segment;m5p;nonifc;0.14;0.02;0.0217
segment;mlp;ifc;2.97;0.72;0.164
segment;mlp;nonifc;2.84;0.02;0.0033
segment;smoreg;ifc;3.52;0.69;0.2639
segment;smoreg;nonifc;0.61;0.02;0.1306
sick;ibk;ifc;0.13;1.66;0.2113
sick;ibk;nonifc;0.02;0.13;0.2277
sick;linreg;ifc;0.22;1.8;0.1677
sick;linreg;nonifc;0.11;0.02;0.214
sick;logreg;ifc;0.22;1.52;0.178
sick;logreg;nonifc;0.08;0.02;0.1811
sick;m5p;ifc;0.31;1.47;0.159
sick;m5p;nonifc;0.22;0.02;0.1482
sick;mlp;ifc;6.42;1.31;0.1873
sick;mlp;nonifc;7.91;0.03;0.2748
sick;smoreg;ifc;5.19;1.25;0.2388
sick;smoreg;nonifc;5.27;0.03;0.2403
sonar;ibk;ifc;0.11;1.47;0.6829
sonar;ibk;nonifc;0.02;0.05;0.3861
sonar;linreg;ifc;0.2;1.5;0.5058
sonar;linreg;nonifc;0.09;0.02;0.4892
sonar;logreg;ifc;0.16;1.44;0.6373
sonar;logreg;nonifc;0.06;0.02;0.5285
sonar;m5p;ifc;0.27;1.45;0.5146
sonar;m5p;nonifc;0.17;0.02;0.3886
sonar;mlp;ifc;5.88;1.22;0.5508
sonar;mlp;nonifc;7.23;0.02;0.4224
sonar;smoreg;ifc;0.38;1.75;0.5075
sonar;smoreg;nonifc;0.14;0.02;0.5209
soybean;ibk;ifc;0.05;1;0.2251
soybean;ibk;nonifc;0.02;0.06;0.1856
soybean;linreg;ifc;0.11;0.94;0.2007
soybean;linreg;nonifc;0.14;0.02;0.2149
soybean;logreg;ifc;0.09;0.94;0.2232
soybean;logreg;nonifc;0.2;0.02;0.3968
soybean;m5p;ifc;0.28;1.08;0.1944
soybean;m5p;nonifc;0.23;0;0.1993
soybean;mlp;ifc;5.05;0.97;0.2734
soybean;mlp;nonifc;22.73;0.03;0.2648
soybean;smoreg;ifc;1.97;0.92;0.2365
soybean;smoreg;nonifc;3.72;0.02;0.2418
splice;ibk;ifc;0.23;5.97;0.3603
splice;ibk;nonifc;0;0.36;0.4815
splice;linreg;ifc;0.42;4.64;0.2815
splice;linreg;nonifc;4.95;0.03;0.3037
splice;logreg;ifc;0.31;4.86;0.2944
splice;logreg;nonifc;1.47;0.02;0.3602
splice;m5p;ifc;0.49;4.67;0.2383
splice;m5p;nonifc;0.75;0.02;0.2415
splice;mlp;ifc;19.61;3.98;0.2761
splice;mlp;nonifc;421.75;0.47;0.3387
splice;smoreg;ifc;6.97;4.95;0.3636
splice;smoreg;nonifc;33.78;0.06;0.3388
vehicle;ibk;ifc;0.23;1.05;0.4994
vehicle;ibk;nonifc;0;0.13;0.5065
vehicle;linreg;ifc;0.24;0.8;0.4025
vehicle;linreg;nonifc;0.06;0.03;0.3641
vehicle;logreg;ifc;0.22;0.91;0.4103
vehicle;logreg;nonifc;0.06;0.02;0.3544
vehicle;m5p;ifc;0.44;0.77;0.407
vehicle;m5p;nonifc;0.28;0;0.3571
vehicle;mlp;ifc;4.05;0.86;0.4967
vehicle;mlp;nonifc;3.25;0.03;0.4189
vehicle;smoreg;ifc;2.05;1.06;0.5047
vehicle;smoreg;nonifc;1.25;0.03;0.5043
vote;ibk;ifc;0.06;0.44;0.2421
vote;ibk;nonifc;0.02;0.05;0.2421
vote;linreg;ifc;0.09;0.39;0.1868
vote;linreg;nonifc;0.08;0.02;0.1912
vote;logreg;ifc;0.13;0.36;0.176
vote;logreg;nonifc;0.08;0.03;0.176
vote;m5p;ifc;0.19;0.33;0.1967
vote;m5p;nonifc;0.17;0;0.2027
vote;mlp;ifc;1.39;0.34;0.2359
vote;mlp;nonifc;1.44;0.03;0.2365
vote;smoreg;ifc;1.39;0.34;0.2087
vote;smoreg;nonifc;1.86;0.02;0.2087
