dataset,classifier,ifc,time1,time2,rmse
anneal,ibk,ifc,0.25,3.11,0.0932
anneal,ibk,nonifc,0,0.14,0.0659
anneal,linreg,ifc,0.28,2.36,0.1505
anneal,linreg,nonifc,0.27,0.02,0.1362
anneal,logreg,ifc,0.33,3.76,0.0539
anneal,logreg,nonifc,0.33,0.03,0.0538
anneal,m5p,ifc,0.47,3.09,0.0839
anneal,m5p,nonifc,0.23,0.02,0.0764
anneal,mlp,ifc,10.56,1.9,0.0484
anneal,mlp,nonifc,47.19,0.06,0.0511
anneal,smoreg,ifc,3.68,2.67,0.1935
anneal,smoreg,nonifc,9.02,0.03,0.1901
audiology,ibk,ifc,0.16,3.7,0.176
audiology,ibk,nonifc,0,0.08,0.2303
audiology,linreg,ifc,0.73,3.74,0.2283
audiology,linreg,nonifc,0.27,0.02,0.2572
audiology,logreg,ifc,0.2,2.65,0.3155
audiology,logreg,nonifc,0.14,0.02,0.3643
audiology,m5p,ifc,0.27,2.86,0.1952
audiology,m5p,nonifc,0.19,0.02,0.1971
audiology,mlp,ifc,10.86,2.28,0.1909
audiology,mlp,nonifc,21.92,0.08,0.1963
audiology,smoreg,ifc,0.5,2.9,0.2533
audiology,smoreg,nonifc,0.53,0.03,0.2698
autos,ibk,ifc,0.13,0.37,0.3561
autos,ibk,nonifc,0.02,0.05,0.3123
autos,linreg,ifc,0.22,0.53,0.3338
autos,linreg,nonifc,0.16,0.02,0.4022
autos,logreg,ifc,0.14,0.5,0.4086
autos,logreg,nonifc,0.13,0.02,0.4059
autos,m5p,ifc,0.38,0.42,0.3413
autos,m5p,nonifc,0.17,0.02,0.3195
autos,mlp,ifc,1.76,0.37,0.3459
autos,mlp,nonifc,10.02,0.03,0.347
autos,smoreg,ifc,0.28,0.44,0.3456
autos,smoreg,nonifc,0.19,0.02,0.4282
balance-scale,ibk,ifc,0.09,0.19,0.325
balance-scale,ibk,nonifc,0,0.06,0.2493
balance-scale,linreg,ifc,0.16,0.16,0.2866
balance-scale,linreg,nonifc,0.06,0.02,0.3081
balance-scale,logreg,ifc,0.13,0.11,0.1588
balance-scale,logreg,nonifc,0.03,0.02,0.2072
balance-scale,m5p,ifc,0.33,0.11,0.2645
