dataset,classifier,ifc.time1,ifc.time2,ifc.rmse,nonifc.time1,nonifc.time2,nonifc.rmse,nlin,delta.rmse
anneal,gaussian,0.97,1.65,0.1674,0.81,8.25,0.1303,0.095014286,0.284727552
anneal,ibk,0.26,1.62,0.0578,0.01,0.12,0.0334,0.095014286,0.730538922
anneal,linreg,0.37,1.53,0.1483,0.26,0.04,0.1294,0.095014286,0.146058733
anneal,logreg,0.39,1.5,0.0334,0.2,0.03,0.0334,0.095014286,0
anneal,m5p,0.46,1.5,0.0754,0.31,0.03,0.0809,0.095014286,-0.067985167
anneal,mlp,5.34,1.17,0.0258,27.5,0.06,0.0344,0.095014286,-0.25
anneal,smoreg,3.09,1.33,0.1864,4.56,0.04,0.1939,0.095014286,-0.038679732
audiology,gaussian,0.32,1.14,0.2261,0.13,0.12,0.2431,0.238814286,-0.06993007
audiology,ibk,0.12,1.18,0.176,0,0.05,0.2303,0.238814286,-0.235779418
audiology,linreg,0.33,1.07,0.2283,0.19,0.02,0.2572,0.238814286,-0.112363919
audiology,logreg,0.34,1.12,0.3155,0.13,0.02,0.3643,0.238814286,-0.133955531
audiology,m5p,0.34,1.09,0.1952,0.18,0.02,0.1971,0.238814286,-0.009639777
audiology,mlp,4.12,0.85,0.1909,8.67,0.02,0.1963,0.238814286,-0.027508915
audiology,smoreg,0.34,1.08,0.2533,0.3,0.02,0.2698,0.238814286,-0.061156412
autos,gaussian,0.25,0.31,0.3359,0.12,0.09,0.3578,0.352528571,-0.061207378
autos,ibk,0.1,0.35,0.3276,0,0.05,0.3123,0.352528571,0.048991354
autos,linreg,0.18,0.33,0.3331,0.11,0.01,0.4022,0.352528571,-0.171805072
autos,logreg,0.18,0.31,0.3542,0.1,0.02,0.4059,0.352528571,-0.127371274
autos,m5p,0.28,0.3,0.323,0.19,0.02,0.3195,0.352528571,0.010954617
autos,mlp,1.14,0.28,0.3353,4.12,0.02,0.347,0.352528571,-0.033717579
autos,smoreg,0.22,0.3,0.3534,0.16,0.02,0.4282,0.352528571,-0.174684727
balance-scale,gaussian,0.31,0.25,0.4837,0.24,1.2,0.3071,0.279892857,0.575056985
balance-scale,ibk,0.07,0.3,0.3156,0,0.1,0.2493,0.279892857,0.265944645
