@relation zoo-weka.filters.unsupervised.attribute.NominalToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R19-24

@attribute animal {aardvark,antelope,bass,bear,boar,buffalo,calf,carp,catfish,cavy,cheetah,chicken,chub,clam,crab,crayfish,crow,deer,dogfish,dolphin,dove,duck,elephant,flamingo,flea,frog,fruitbat,giraffe,girl,gnat,goat,gorilla,gull,haddock,hamster,hare,hawk,herring,honeybee,housefly,kiwi,ladybird,lark,leopard,lion,lobster,lynx,mink,mole,mongoose,moth,newt,octopus,opossum,oryx,ostrich,parakeet,penguin,pheasant,pike,piranha,pitviper,platypus,polecat,pony,porpoise,puma,pussycat,raccoon,reindeer,rhea,scorpion,seahorse,seal,sealion,seasnake,seawasp,skimmer,skua,slowworm,slug,sole,sparrow,squirrel,starfish,stingray,swan,termite,toad,tortoise,tuatara,tuna,vampire,vole,vulture,wallaby,wasp,wolf,worm,wren}
@attribute hair {false,true}
@attribute feathers {false,true}
@attribute eggs {false,true}
@attribute milk {false,true}
@attribute airborne {false,true}
@attribute aquatic {false,true}
@attribute predator {false,true}
@attribute toothed {false,true}
@attribute backbone {false,true}
@attribute breathes {false,true}
@attribute venomous {false,true}
@attribute fins {false,true}
@attribute legs numeric
@attribute tail {false,true}
@attribute domestic {false,true}
@attribute catsize {false,true}
@attribute type=mammal numeric

@data
aardvark,true,false,false,true,false,false,true,true,true,true,false,false,4,false,false,true,1
antelope,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
bass,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,0
bear,true,false,false,true,false,false,true,true,true,true,false,false,4,false,false,true,1
boar,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
buffalo,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
calf,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1
carp,false,false,true,false,false,true,false,true,true,false,false,true,0,true,true,false,0
catfish,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,0
cavy,true,false,false,true,false,false,false,true,true,true,false,false,4,false,true,false,1
cheetah,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
chicken,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,0
chub,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,0
clam,false,false,true,false,false,false,true,false,false,false,false,false,0,false,false,false,0
crab,false,false,true,false,false,true,true,false,false,false,false,false,4,false,false,false,0
crayfish,false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false,0
crow,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,false,0
deer,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
dogfish,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,0
dolphin,false,false,false,true,false,true,true,true,true,true,false,true,0,true,false,true,1
dove,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,0
duck,false,true,true,false,true,true,false,false,true,true,false,false,2,true,false,false,0
elephant,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
flamingo,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,true,0
flea,false,false,true,false,false,false,false,false,false,true,false,false,6,false,false,false,0
frog,false,false,true,false,false,true,true,true,true,true,false,false,4,false,false,false,0
frog,false,false,true,false,false,true,true,true,true,true,true,false,4,false,false,false,0
fruitbat,true,false,false,true,true,false,false,true,true,true,false,false,2,true,false,false,1
giraffe,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
girl,true,false,false,true,false,false,true,true,true,true,false,false,2,false,true,true,1
gnat,false,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,0
goat,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1
gorilla,true,false,false,true,false,false,false,true,true,true,false,false,2,false,false,true,1
gull,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,0
haddock,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,0
hamster,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,false,1
hare,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,1
hawk,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,false,0
herring,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,0
honeybee,true,false,true,false,true,false,false,false,false,true,true,false,6,false,true,false,0
housefly,true,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,0
kiwi,false,true,true,false,false,false,true,false,true,true,false,false,2,true,false,false,0
ladybird,false,false,true,false,true,false,true,false,false,true,false,false,6,false,false,false,0
lark,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,0
leopard,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
lion,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
lobster,false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false,0
lynx,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
mink,true,false,false,true,false,true,true,true,true,true,false,false,4,true,false,true,1
mole,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,false,1
mongoose,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
moth,true,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,0
newt,false,false,true,false,false,true,true,true,true,true,false,false,4,true,false,false,0
octopus,false,false,true,false,false,true,true,false,false,false,false,false,8,false,false,true,0
opossum,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,false,1
oryx,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
ostrich,false,true,true,false,false,false,false,false,true,true,false,false,2,true,false,true,0
parakeet,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,0
penguin,false,true,true,false,false,true,true,false,true,true,false,false,2,true,false,true,0
pheasant,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,0
pike,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,0
piranha,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,0
pitviper,false,false,true,false,false,false,true,true,true,true,true,false,0,true,false,false,0
platypus,true,false,true,true,false,true,true,false,true,true,false,false,4,true,false,true,1
polecat,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
pony,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1
porpoise,false,false,false,true,false,true,true,true,true,true,false,true,0,true,false,true,1
puma,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
